province,value,year
Aceh,44.33,2021
Sumatra Utara,69.13,2021
Sumatra Barat,76.95,2021
Riau,36.35,2021
Jambi,22.56,2021
Sumatra Selatan,98.33,2021
Bengkulu,32.61,2021
Lampung,45.81,2021
Kepulauan Bangka Belitung,15.15,2021
Kepulauan Riau,50.8,2021
DKI Jakarta,78.43,2021
Jawa Barat,10.62,2021
Jawa Tengah,93.92,2021
DI Yogyakarta,32.92,2021
Jawa Timur,27.04,2021
Banten,54.59,2021
Bali,94.48,2021
Nusa Tenggara Barat,22.14,2021
Nusa Tenggara Timur,56.89,2021
Kalimantan Barat,51.86,2021
Kalimantan Tengah,99.04,2021
Kalimantan Selatan,82.22,2021
Kalimantan Timur,17.88,2021
Kalimantan Utara,20.89,2021
Sulawesi Utara,52.65,2021
Sulawesi Tengah,62.29,2021
Sulawesi Selatan,46.5,2021
Sulawesi Tenggara,80.46,2021
Gorontalo,34.5,2021
Sulawesi Barat,17.72,2021
Maluku,23.66,2021
Maluku Utara,41.02,2021
Papua Barat,24.7,2021
Papua,65.04,2021
