province,value,year
Aceh,57.63,2020
Sumatra Utara,49.43,2020
Sumatra Barat,70.4,2020
Riau,89.58,2020
Jambi,98.26,2020
Sumatra Selatan,13.55,2020
Bengkulu,81.03,2020
Lampung,38.48,2020
Kepulauan Bangka Belitung,80.96,2020
Kepulauan Riau,95.45,2020
DKI Jakarta,42.73,2020
Jawa Barat,71.14,2020
Jawa Tengah,74.95,2020
DI Yogyakarta,41.48,2020
Jawa Timur,66.46,2020
Banten,29.07,2020
Bali,45.66,2020
Nusa Tenggara Barat,29.51,2020
Nusa Tenggara Timur,35.64,2020
Kalimantan Barat,23.12,2020
Kalimantan Tengah,19.96,2020
Kalimantan Selatan,22.78,2020
Kalimantan Timur,83.05,2020
Kalimantan Utara,37.02,2020
Sulawesi Utara,61.54,2020
Sulawesi Tengah,49.78,2020
Sulawesi Selatan,86.45,2020
Sulawesi Tenggara,42.49,2020
Gorontalo,54.34,2020
Sulawesi Barat,66.69,2020
Maluku,66.59,2020
Maluku Utara,65.95,2020
Papua Barat,95.47,2020
Papua,78.68,2020
