province,value,year
Aceh,83.2,2021
Sumatra Utara,56.54,2021
Sumatra Barat,61.67,2021
Riau,17.11,2021
Jambi,42.96,2021
Sumatra Selatan,54.21,2021
Bengkulu,79.64,2021
Lampung,21.84,2021
Kepulauan Bangka Belitung,48.06,2021
Kepulauan Riau,28.45,2021
DKI Jakarta,55.44,2021
Jawa Barat,60.76,2021
Jawa Tengah,46.22,2021
DI Yogyakarta,90.82,2021
Jawa Timur,52.79,2021
Banten,69.87,2021
Bali,38.57,2021
Nusa Tenggara Barat,53.27,2021
Nusa Tenggara Timur,10.39,2021
Kalimantan Barat,10.06,2021
Kalimantan Tengah,48.65,2021
Kalimantan Selatan,53.15,2021
Kalimantan Timur,78.44,2021
Kalimantan Utara,50.51,2021
Sulawesi Utara,93.33,2021
Sulawesi Tengah,63.33,2021
Sulawesi Selatan,30.82,2021
Sulawesi Tenggara,57.47,2021
Gorontalo,12.3,2021
Sulawesi Barat,30.54,2021
Maluku,99.07,2021
Maluku Utara,35.33,2021
Papua Barat,77.09,2021
Papua,97.87,2021
