province,value,year
Aceh,40.57,2019
Sumatra Utara,32.8,2019
Sumatra Barat,77.05,2019
Riau,28.52,2019
Jambi,16.66,2019
Sumatra Selatan,29.39,2019
Bengkulu,63.55,2019
Lampung,26.88,2019
Kepulauan Bangka Belitung,11.52,2019
Kepulauan Riau,89.39,2019
DKI Jakarta,40.49,2019
Jawa Barat,28.88,2019
Jawa Tengah,70.95,2019
DI Yogyakarta,79.49,2019
Jawa Timur,20.08,2019
Banten,26.77,2019
Bali,12.27,2019
Nusa Tenggara Barat,38.49,2019
Nusa Tenggara Timur,10.92,2019
Kalimantan Barat,89.61,2019
Kalimantan Tengah,68.73,2019
Kalimantan Selatan,89.96,2019
Kalimantan Timur,73.01,2019
Kalimantan Utara,10.0,2019
Sulawesi Utara,29.24,2019
Sulawesi Tengah,36.97,2019
Sulawesi Selatan,90.88,2019
Sulawesi Tenggara,92.36,2019
Gorontalo,23.58,2019
Sulawesi Barat,98.98,2019
Maluku,84.74,2019
Maluku Utara,90.26,2019
Papua Barat,46.14,2019
Papua,96.97,2019
